FIPS_Code,Unemployment_rate_2019
0,3.7
1000,3.0
1001,2.7
1003,2.8
1005,3.8
1007,3.1
1009,2.7
1011,3.7
1013,3.7
1015,3.6
1017,2.9
1019,2.9
1021,2.7
1023,4.7
1025,5.8
1027,3.0
1029,3.2
1031,2.9
1033,3.8
1035,4.0
1037,3.0
1039,3.5
1041,2.8
1043,2.6
1045,3.2
1047,5.5
1049,2.8
1051,2.6
1053,3.5
1055,3.4
1057,3.1
1059,2.8
1061,3.0
1063,5.6
1065,4.0
1067,3.6
1069,3.0
1071,3.3
1073,2.9
1075,3.1
1077,3.3
1079,3.2
1081,2.8
1083,2.7
1085,5.8
1087,4.3
1089,2.6
1091,3.5
1093,3.5
1095,2.5
1097,3.7
1099,4.8
1101,3.1
1103,2.6
1105,5.3
1107,3.5
1109,3.3
1111,3.1
1113,3.0
1115,2.7
1117,2.2
1119,4.6
1121,3.4
1123,3.0
1125,2.7
1127,3.3
1129,4.7
1131,7.2
1133,3.3
2000,5.4
2013,2.3
2016,3.1
2020,4.4
2050,11.5
2060,5.3
2068,7.4
2070,7.0
2090,4.7
2100,7.9
2105,10.0
2110,3.9
2122,6.0
2130,5.5
2150,4.9
2158,17.6
2164,8.9
2170,6.1
2180,9.8
2185,5.6
2188,12.6
2195,7.8
2198,8.9
2201,
2220,3.6
2230,8.8
2232,
2240,7.9
2261,6.7
2275,6.7
2280,
2282,6.7
2290,12.6
4000,4.9
4001,10.1
4003,5.8
4005,5.8
4007,5.7
4009,4.9
4011,4.0
4012,6.0
4013,4.2
4015,5.9
4017,7.6
4019,4.5
4021,5.0
4023,8.7
4025,4.6
4027,16.8
5000,3.5
5001,3.0
5003,5.4
5005,4.0
5007,2.6
5009,3.2
5011,4.1
5013,4.4
5015,3.1
5017,6.9
5019,3.8
5021,4.8
5023,4.5
5025,3.9
5027,4.4
5029,4.3
5031,2.8
5033,3.3
5035,4.2
5037,4.2
5039,4.6
5041,4.4
5043,5.2
5045,3.0
5047,3.3
5049,4.0
5051,3.7
5053,3.2
5055,3.5
5057,3.8
5059,3.6
5061,3.2
5063,4.0
5065,5.4
5067,6.5
5069,5.4
5071,4.5
5073,4.6
5075,4.1
5077,4.5
5079,4.3
5081,4.3
5083,4.3
5085,3.2
5087,2.6
5089,4.0
5091,4.1
5093,5.1
5095,4.2
5097,4.6
5099,3.9
5101,3.5
5103,5.1
5105,4.0
5107,5.9
5109,3.8
5111,3.4
5113,4.2
5115,4.3
5117,4.3
5119,3.4
5121,3.8
5123,5.1
5125,2.8
5127,3.4
5129,4.5
5131,3.3
5133,4.8
5135,4.9
5137,4.7
5139,5.2
5141,4.9
5143,2.5
5145,4.4
5147,5.2
5149,4.0
6000,4.2
6001,3.0
6003,5.4
6005,3.9
6007,5.2
6009,3.9
6011,13.0
6013,3.1
6015,5.9
6017,3.6
6019,7.4
6021,6.2
6023,3.7
6025,20.9
6027,3.6
6029,7.9
6031,8.0
6033,5.2
6035,4.7
6037,4.6
6039,7.0
6041,2.4
6043,4.6
6045,4.0
6047,8.2
6049,7.2
6051,3.8
6053,6.4
6055,2.9
6057,3.4
6059,2.8
6061,3.2
6063,7.8
6065,4.2
6067,3.7
6069,5.0
6071,3.9
6073,3.3
6075,2.2
6077,6.0
6079,2.9
6081,2.1
6083,3.7
6085,2.5
6087,5.0
6089,4.8
6091,5.4
6093,6.6
6095,3.8
6097,2.7
6099,6.2
6101,7.5
6103,5.7
6105,5.6
6107,9.9
6109,4.6
6111,3.7
6113,4.2
6115,6.2
8000,2.7
8001,2.8
8003,3.4
8005,2.6
8007,3.0
8009,1.6
8011,2.7
8013,2.3
8014,2.4
8015,2.3
8017,1.6
8019,2.4
8021,3.5
8023,3.8
8025,4.1
8027,2.9
8029,3.2
8031,2.6
8033,2.9
8035,2.3
8037,2.2
8039,2.1
8041,3.2
8043,4.4
8045,2.6
8047,2.2
8049,2.1
8051,2.1
8053,3.4
8055,5.5
8057,2.2
8059,2.4
8061,1.5
8063,1.6
8065,2.3
8067,2.4
8069,2.3
8071,3.8
8073,2.2
8075,2.3
8077,3.3
8079,2.3
8081,3.3
8083,4.1
8085,3.0
8087,2.5
8089,3.9
8091,2.8
8093,2.4
8095,1.5
8097,3.0
8099,2.5
8101,3.9
8103,3.5
8105,4.0
8107,2.1
8109,3.9
8111,2.9
8113,2.7
8115,1.9
8117,1.7
8119,3.0
8121,1.9
8123,2.5
8125,1.5
9000,3.6
9001,3.5
9003,3.7
9005,3.3
9007,3.1
9009,3.8
9011,3.5
9013,3.1
9015,3.9
10000,3.7
10001,4.1
10003,3.5
10005,3.7
11000,5.4
11001,5.4
12000,3.3
12001,3.1
12003,3.3
12005,3.9
12007,3.4
12009,3.4
12011,3.2
12013,4.1
12015,3.9
12017,5.1
12019,3.2
12021,3.3
12023,3.4
12027,3.7
12029,4.0
12031,3.5
12033,3.4
12035,4.0
12037,3.8
12039,4.3
12041,3.6
12043,4.1
12045,5.0
12047,4.3
12049,5.3
12051,6.3
12053,4.4
12055,4.8
12057,3.3
12059,3.7
12061,4.0
12063,3.7
12065,3.5
12067,3.1
12069,3.4
12071,3.3
12073,3.3
12075,3.9
12077,3.7
12079,4.0
12081,3.3
12083,4.0
12085,3.3
12086,2.6
12087,2.1
12089,3.1
12091,2.8
12093,3.7
12095,3.1
12097,3.5
12099,3.4
12101,3.7
12103,3.2
12105,3.9
12107,4.5
12109,2.8
12111,4.1
12113,3.1
12115,3.3
12117,3.1
12119,4.9
12121,3.5
12123,3.8
12125,3.1
12127,3.6
12129,3.0
12131,3.0
12133,3.6
13000,3.5
13001,4.0
13003,3.2
13005,3.7
13007,4.7
13009,4.3
13011,2.8
13013,2.9
13015,3.4
13017,5.6
13019,4.1
13021,4.0
13023,5.2
13025,4.2
13027,3.5
13029,3.0
13031,3.9
13033,5.3
13035,3.4
13037,3.7
13039,3.7
13043,3.0
13045,3.6
13047,3.1
13049,3.9
13051,3.4
13053,4.6
13055,5.1
13057,2.8
13059,3.7
13061,7.0
13063,4.4
13065,3.8
13067,3.1
13069,4.0
13071,3.2
13073,3.1
13075,3.4
13077,3.0
13079,3.7
13081,3.9
13083,3.4
13085,2.9
13087,3.8
13089,3.6
13091,5.5
13093,3.8
13095,4.7
13097,3.7
13099,4.0
13101,2.8
13103,2.9
13105,4.0
13107,5.4
13109,3.4
13111,3.4
13113,3.1
13115,4.0
13117,2.8
13119,3.6
13121,3.6
13123,3.6
13125,3.8
13127,3.5
13129,3.5
13131,3.4
13133,3.9
13135,3.1
13137,3.5
13139,2.9
13141,5.7
13143,3.4
13145,3.1
13147,3.6
13149,3.4
13151,3.7
13153,3.4
13155,4.7
13157,2.7
13159,3.2
13161,4.7
13163,4.9
13165,5.2
13167,3.7
13169,3.3
13171,4.0
13173,4.1
13175,4.6
13177,3.1
13179,3.9
13181,3.9
13183,3.8
13185,3.6
13187,3.3
13189,5.3
13191,3.7
13193,4.7
13195,3.2
13197,4.3
13199,4.7
13201,3.3
13205,4.6
13207,3.3
13209,5.2
13211,3.2
13213,5.2
13215,4.7
13217,4.0
13219,2.6
13221,3.3
13223,3.0
13225,4.2
13227,3.1
13229,3.5
13231,3.1
13233,3.7
13235,4.0
13237,4.4
13239,5.2
13241,3.6
13243,4.9
13245,4.7
13247,3.9
13249,3.9
13251,5.5
13253,4.3
13255,4.1
13257,3.9
13259,4.4
13261,4.9
13263,4.5
13265,5.1
13267,3.9
13269,4.2
13271,9.4
13273,5.1
13275,4.0
13277,3.4
13279,5.0
13281,4.9
13283,5.3
13285,3.2
13287,3.8
13289,5.7
13291,3.2
13293,3.6
13295,3.7
13297,3.2
13299,3.8
13301,4.8
13303,4.2
13305,4.1
13307,5.0
13309,7.4
13311,2.8
13313,4.6
13315,4.5
13317,4.7
13319,3.8
13321,3.9
15000,2.5
15001,3.1
15003,2.3
15007,2.4
15009,2.4
16000,2.8
16001,2.4
16003,6.5
16005,2.7
16007,2.8
16009,5.0
16011,2.5
16013,2.5
16015,4.1
16017,4.0
16019,2.3
16021,4.2
16023,2.5
16025,2.6
16027,3.0
16029,2.5
16031,2.3
16033,3.5
16035,6.4
16037,4.0
16039,3.1
16041,2.2
16043,2.2
16045,3.1
16047,2.5
16049,4.3
16051,2.2
16053,2.5
16055,3.4
16057,2.5
16059,4.5
16061,5.2
16063,3.4
16065,1.7
16067,2.4
16069,2.7
16071,2.2
16073,3.2
16075,3.4
16077,2.9
16079,5.6
16081,2.1
16083,2.7
16085,3.7
16087,3.9
17000,4.0
17001,3.3
17003,6.1
17005,3.7
17007,5.4
17009,2.4
17011,4.5
17013,4.4
17015,3.9
17017,4.0
17019,3.6
17021,4.6
17023,4.5
17025,4.3
17027,3.0
17029,3.8
17031,4.0
17033,4.1
17035,3.3
17037,3.9
17039,4.2
17041,3.4
17043,3.1
17045,4.1
17047,4.1
17049,3.1
17051,4.2
17053,4.1
17055,5.2
17057,5.3
17059,4.8
17061,4.1
17063,4.7
17065,3.7
17067,4.5
17069,6.3
17071,4.5
17073,4.6
17075,4.0
17077,3.6
17079,4.1
17081,4.4
17083,4.2
17085,3.9
17087,5.8
17089,4.3
17091,4.8
17093,3.5
17095,4.7
17097,3.9
17099,5.1
17101,5.3
17103,3.8
17105,3.9
17107,4.2
17109,4.4
17111,3.5
17113,3.6
17115,5.0
17117,4.1
17119,3.7
17121,4.2
17123,4.6
17125,5.1
17127,5.3
17129,3.7
17131,4.8
17133,2.9
17135,5.0
17137,3.8
17139,3.2
17141,4.6
17143,4.9
17145,4.9
17147,3.4
17149,4.2
17151,5.3
17153,6.4
17155,4.9
17157,3.5
17159,3.9
17161,4.8
17163,4.2
17165,5.1
17167,3.9
17169,4.0
17171,4.6
17173,3.7
17175,5.5
17177,4.2
17179,4.2
17181,5.4
17183,4.9
17185,4.0
17187,3.9
17189,2.5
17191,4.6
17193,3.7
17195,4.1
17197,4.0
17199,4.1
17201,5.4
17203,3.6
18000,3.2
18001,2.6
18003,3.1
18005,2.4
18007,3.1
18009,3.8
18011,2.4
18013,3.0
18015,3.0
18017,3.4
18019,3.2
18021,3.6
18023,2.6
18025,4.0
18027,2.5
18029,3.5
18031,2.7
18033,2.8
18035,3.8
18037,2.3
18039,3.0
18041,4.6
18043,3.1
18045,3.4
18047,3.3
18049,3.1
18051,2.5
18053,3.6
18055,4.0
18057,2.5
18059,2.8
18061,3.1
18063,2.6
18065,3.2
18067,3.9
18069,3.2
18071,2.6
18073,3.6
18075,2.9
18077,3.3
18079,3.2
18081,2.6
18083,3.0
18085,2.7
18087,2.7
18089,4.8
18091,4.2
